ダウンロードした時刻：2023/06/19 00:44:12,,,,,,,,,,,,
,,,,,,,,,,,,
,佐賀,佐賀,佐賀,白石,白石,白石,嬉野,嬉野,嬉野,伊万里,伊万里,伊万里
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
Feb-90,9.9,8,1,9.2,8,1,8.3,8,1,9,8,1
Mar-90,10.9,8,1,10,8,1,9.6,8,1,10.3,8,1
Apr-90,14.5,8,1,13.6,8,1,13.1,8,1,13.7,8,1
May-90,19.2,8,1,18.4,8,1,17.5,8,1,18.1,8,1
Jun-90,24.2,8,1,23.7,8,1,22.7,8,1,23.1,8,1
Jul-90,28,8,1,27.6,8,1,26.8,8,1,27.6,8,1
Aug-90,29.1,8,1,28.6,8,1,27.5,8,1,28.3,8,1
Sep-90,25.3,8,1,24.5,8,1,23.7,8,1,24.3,8,1
Oct-90,18.5,8,1,17.4,8,1,16.6,8,1,17.2,8,1
Nov-90,14.4,8,1,13.3,8,1,12.7,8,1,13.7,8,1
Dec-90,7.4,8,1,6.4,8,1,5.8,8,1,7.1,8,1
Jan-91,6.2,8,1,5.4,8,1,4.7,8,1,5.7,8,1
Feb-91,5.5,8,1,4.7,8,1,4.2,8,1,5,8,1
Mar-91,10.8,8,1,10.1,8,1,9.2,8,1,9.7,8,1
Apr-91,15.4,8,1,14.6,8,1,13.6,8,1,13.9,8,1
May-91,18.4,8,1,17.7,8,1,16.9,8,1,17.4,8,1
Jun-91,23.5,8,1,23.3,8,1,22.4,8,1,22.7,8,1
Jul-91,27,8,1,27,8,1,26.2,8,1,26.9,8,1
Aug-91,26.8,8,1,26.2,8,1,25.1,8,1,25.3,8,1
Sep-91,24.6,8,1,23.6,8,1,22.6,5,1,23.1,8,1
Oct-91,18,8,1,16.9,8,1,16,8,1,17,8,1
Nov-91,12.4,8,1,11.1,8,1,10.5,8,1,11.3,8,1
Dec-91,9.2,8,1,8.1,8,1,7.7,8,1,8.6,8,1
Jan-92,6.9,8,1,5.9,8,1,5.5,8,1,6.6,5,1
Feb-92,6.6,8,1,5.6,8,1,5.2,8,1,6.2,8,1
Mar-92,11.1,8,1,10.4,8,1,9.6,8,1,10.1,8,1
Apr-92,15.5,8,1,14.6,8,1,14,8,1,14.4,8,1
May-92,18.9,8,1,18.2,8,1,17.4,8,1,17.7,8,1
Jun-92,21.8,8,1,21.2,8,1,20,8,1,20.5,8,1
Jul-92,26,8,1,25.7,8,1,24.9,8,1,25.7,8,1
Aug-92,27.1,8,1,26.4,8,1,25.4,8,1,26.1,8,1
Sep-92,24.5,8,1,23.6,8,1,22.7,8,1,23.5,8,1
Oct-92,18.2,8,1,16.9,8,1,16.1,8,1,17,8,1
Nov-92,12.6,8,1,11.5,8,1,10.8,8,1,11.8,8,1
Dec-92,8.9,8,1,7.8,8,1,7.3,8,1,8.3,8,1
Jan-93,6.6,8,1,5.7,8,1,5.6,5,1,5.9,8,1
Feb-93,7.4,8,1,6.6,8,1,6.2,8,1,6.9,8,1
Mar-93,9.4,8,1,8.5,8,1,7.9,8,1,8.5,8,1
Apr-93,14.3,8,1,13.2,8,1,13.1,8,1,13,8,1
May-93,19.1,8,1,18.2,8,1,17.3,8,1,17.6,8,1
Jun-93,22.9,8,1,22.5,8,1,21.7,8,1,22.1,8,1
Jul-93,25.4,8,1,24.9,8,1,24.1,8,1,24.5,8,1
Aug-93,25.5,8,1,24.9,8,1,24.2,8,1,24.7,8,1
Sep-93,22.5,8,1,21.5,8,1,20.7,8,1,21.4,8,1
Oct-93,17.1,8,1,15.8,8,1,15.3,8,1,16,8,1
Nov-93,14,8,1,13.1,8,1,12.5,8,1,13.3,8,1
Dec-93,7.8,8,1,6.7,8,1,6.1,8,1,7.3,8,1
Jan-94,6.1,8,1,5.1,5,1,4.4,8,1,5.6,8,1
Feb-94,6.9,8,1,5.9,5,1,5.3,8,1,6,8,1
Mar-94,8.6,8,1,7.6,8,1,6.9,8,1,7.6,8,1
Apr-94,16.1,8,1,15.4,8,1,14.7,8,1,14.9,8,1
May-94,20.2,8,1,19.5,8,1,18.6,8,1,19.3,8,1
Jun-94,22.9,8,1,22.3,8,1,21.1,8,1,21.3,8,1
Jul-94,29.9,8,1,29.4,8,1,28.3,8,1,28.6,8,1
Aug-94,29.6,8,1,28.8,8,1,27.9,8,1,28.5,8,1
Sep-94,24.1,8,1,23.1,8,1,22.1,8,1,22.9,8,1
Oct-94,19.2,8,1,18.1,8,1,17.4,8,1,18.1,8,1
Nov-94,14.4,8,1,13.3,8,1,12.8,8,1,13.4,8,1
Dec-94,9,8,1,7.9,8,1,7.6,8,1,8.6,8,1
Jan-95,5.6,8,1,4.8,8,1,4.2,8,1,5.3,8,1
Feb-95,6.5,8,1,5.5,8,1,4.9,8,1,5.7,8,1
Mar-95,9.9,8,1,8.9,8,1,8.2,8,1,8.8,8,1
Apr-95,14.3,8,1,13.5,8,1,12.8,8,1,13.2,8,1
May-95,18.7,8,1,18,8,1,17.2,8,1,17.4,8,1
Jun-95,22.2,8,1,21.7,8,1,20.5,8,1,20.8,8,1
Jul-95,27.1,8,1,26.9,8,1,25.9,8,1,26.5,8,1
Aug-95,28.9,8,1,28.4,8,1,27.4,8,1,28.3,8,1
Sep-95,23.1,8,1,22.4,8,1,21.5,8,1,22.2,8,1
Oct-95,18.8,8,2,17.8,8,1,17,8,1,17.7,8,1
Nov-95,11,8,2,10.1,8,1,9.4,8,1,10.4,8,1
Dec-95,5.8,8,2,4.9,8,1,4.4,8,1,5.5,8,1
Jan-96,5.1,8,2,4.2,8,1,3.9,8,1,5,8,1
Feb-96,5.1,8,2,4.5,8,1,3.7,8,1,4.8,8,1
Mar-96,9.4,8,2,9,8,1,8.1,8,1,8.8,8,1
Apr-96,12.1,8,2,11.4,8,1,10.5,8,1,11,8,1
May-96,19.5,8,2,18.9,8,1,18,8,1,18.1,8,1
Jun-96,23.7,8,2,23.7,8,1,22.7,8,1,23.1,8,1
Jul-96,27.2,8,2,27.1,8,1,25.7,8,1,26.3,8,1
Aug-96,27.8,8,2,27.7,8,1,26.4,8,1,26.8,8,1
Sep-96,23.7,8,2,23,8,1,21.7,8,1,22.6,8,1
Oct-96,18.5,8,2,17.7,8,1,16.8,8,1,17.5,8,1
Nov-96,13.5,8,2,12.9,8,1,12,8,1,12.9,8,1
Dec-96,7.3,8,2,6.3,8,1,5.9,8,1,6.9,8,1
Jan-97,4.9,8,2,4.3,8,1,3.7,8,1,4.5,8,1
Feb-97,6.9,8,2,6.1,8,1,5.4,8,1,6.2,8,1
Mar-97,10.9,8,2,10.4,8,1,9.5,8,1,10,8,1
Apr-97,15.1,8,2,14.6,8,1,13.9,8,1,14.2,8,1
May-97,20.2,8,2,19.9,8,1,18.8,8,1,19.4,8,1
Jun-97,24,8,2,23.8,8,1,22.5,8,1,22.7,8,1
Jul-97,26.5,8,2,26.4,8,1,25.3,8,1,25.7,8,1
Aug-97,27.6,8,2,27.3,8,1,26.3,8,1,26.9,8,1
Sep-97,23,8,2,22.5,8,1,21.3,8,1,22.1,8,1
Oct-97,17.7,8,2,16.8,8,1,16,8,1,16.9,8,1
Nov-97,14.1,8,2,13.3,8,1,12.5,8,1,13.4,8,1
Dec-97,8.7,8,2,8.1,8,1,7.3,8,1,8.4,8,1
Jan-98,5.9,8,2,5.3,8,1,4.5,8,1,5.5,8,1
Feb-98,9.1,8,2,8.4,8,1,7.4,5,1,8.3,8,1
Mar-98,10.3,8,2,9.7,8,1,8.8,8,1,9.3,8,1
Apr-98,18.1,8,2,17.6,8,1,16.6,8,1,16.8,8,1
May-98,21.6,8,2,21.1,8,1,19.9,8,1,20.2,8,1
Jun-98,23.4,8,2,23.1,8,1,21.9,8,1,22.1,8,1
Jul-98,27.5,8,2,27.3,8,1,26.1,8,1,26.7,8,1
Aug-98,28.7,8,2,28.3,8,1,27.2,8,1,28,8,1
Sep-98,25.6,8,2,25.2,8,1,23.9,8,1,24.7,8,1
Oct-98,20.4,8,2,19.7,8,1,18.5,8,1,19.3,8,1
Nov-98,13.3,8,2,12.3,8,1,11.4,8,1,12.6,8,1
Dec-98,9.1,8,2,8.1,8,1,7.5,8,1,8.4,8,1
Jan-99,5.9,8,2,5.2,8,1,4.7,8,1,5.7,8,1
Feb-99,6.1,8,2,5.5,8,1,4.8,8,1,5.7,8,1
